usage_id,employee_id,week_number,is_active,feature_used,hours_saved,sessions_count
64,331,1,1,Meeting Recap,41.7,5
65,5,3,1,Email Drafting,24.6,16
66,199,10,0,Data Lookup,33.8,0
67,131,3,1,Report Generation,48,1
68,445,8,1,Meeting Recap,35.4,18
69,276,10,1,Email Drafting,30.9,15
70,45,12,0,Email Drafting,12.5,17
71,355,11,1,Email Drafting,10.4,19
72,330,12,1,Document Summary,19.6,17
73,89,5,1,Meeting Recap,8.8,3
74,432,6,1,Document Summary,45.2,16
75,264,12,1,Document Summary,45.8,1
76,258,4,0,Report Generation,24.7,7
77,385,2,1,Report Generation,6.3,7
78,57,2,0,Meeting Recap,23.2,8
79,426,1,1,Email Drafting,12.7,8
80,96,3,0,Data Lookup,7.4,3
81,17,9,0,Report Generation,24.6,18
82,486,5,0,Report Generation,20.9,4
83,332,2,1,Report Generation,50,6
84,69,6,0,Meeting Recap,19.8,13
85,423,1,1,Email Drafting,35.3,4
86,483,2,1,Meeting Recap,45.9,13
87,47,5,0,Data Lookup,35.1,13
88,326,9,0,Document Summary,19,19
89,49,2,0,Meeting Recap,41.8,14
90,219,2,1,Meeting Recap,19,3
91,191,6,0,Data Lookup,5.5,5
92,389,11,0,Data Lookup,28.1,8
93,305,8,0,Document Summary,6.8,5
94,142,6,0,Document Summary,44.6,18
95,104,12,1,Document Summary,10.4,6
96,483,12,1,Email Drafting,43.3,8
97,257,8,1,Document Summary,23.4,10
98,457,5,1,Report Generation,37.2,20
99,447,11,1,Meeting Recap,24.7,9
100,162,12,0,Meeting Recap,6.7,4
101,313,4,1,Email Drafting,34.9,13
102,225,5,1,Email Drafting,43.6,16
103,284,7,0,Document Summary,48.2,1
104,244,1,0,Data Lookup,45.7,3
105,151,2,1,Document Summary,41.1,6
106,26,6,0,Document Summary,10.8,19
107,461,3,0,Email Drafting,38.6,5
108,323,10,1,Email Drafting,49.5,17
109,31,5,0,Document Summary,16.1,16
110,391,12,1,Data Lookup,13,18
111,462,9,0,Report Generation,7.6,18
112,395,4,0,Meeting Recap,33.5,20
113,420,12,1,Report Generation,40.4,4
114,75,11,0,Report Generation,33.9,8
115,4,10,1,Meeting Recap,47,2
116,206,10,1,Email Drafting,20.4,15
117,429,5,1,Data Lookup,20.7,6
118,280,8,1,Report Generation,46.1,5
119,405,12,0,Report Generation,19.5,18
120,258,7,1,Report Generation,40.8,13
121,209,9,1,Document Summary,21.6,6
122,317,2,1,Data Lookup,23.1,18
123,134,9,0,Email Drafting,15,13
124,90,8,1,Document Summary,40.1,13
125,497,1,0,Meeting Recap,40.4,8
126,327,2,0,Document Summary,15.8,14
127,359,8,1,Meeting Recap,27.2,4
128,306,1,1,Report Generation,46.7,9
129,435,8,0,Meeting Recap,26.6,17
130,106,3,0,Meeting Recap,11.3,19
131,486,8,0,Meeting Recap,8.4,6
132,352,8,0,Document Summary,49.8,0
133,312,3,1,Document Summary,34.3,19
134,252,6,0,Data Lookup,35.8,13
135,43,3,0,Meeting Recap,29.1,20
136,267,2,1,Report Generation,24.4,9
137,94,4,0,Data Lookup,42.8,19
138,71,2,1,Data Lookup,8.7,16
139,391,2,0,Meeting Recap,13.7,20
140,100,9,0,Report Generation,12.2,2
141,416,10,0,Document Summary,7.5,10
142,184,1,0,Data Lookup,26.8,0
143,261,11,1,Meeting Recap,23,12
144,221,2,1,Data Lookup,39.8,11
145,240,12,0,Email Drafting,23.9,20
146,405,4,1,Document Summary,43.5,9
147,368,5,1,Document Summary,18.2,9
148,426,9,1,Data Lookup,24.4,20
149,223,12,0,Data Lookup,45.1,20
150,432,3,1,Report Generation,12.3,19
151,284,2,1,Email Drafting,24.1,6
152,349,5,0,Report Generation,45.2,16
153,250,10,0,Report Generation,24.4,13
154,491,6,1,Report Generation,17.3,4
155,193,6,0,Email Drafting,20.9,5
156,3,12,1,Report Generation,23.2,1
157,244,7,1,Data Lookup,9.5,14
158,392,3,0,Email Drafting,6.6,6
159,320,11,0,Document Summary,14.3,19
160,326,8,1,Report Generation,30,9
161,50,7,1,Email Drafting,13.4,0
162,2,10,0,Report Generation,6.5,17
163,362,11,1,Email Drafting,43.7,9
164,450,1,1,Report Generation,31,12
165,156,9,1,Meeting Recap,38,3
166,263,5,1,Report Generation,43,5
167,78,7,0,Document Summary,11.3,20
168,194,10,1,Data Lookup,40.4,11
169,403,1,1,Email Drafting,19.9,8
170,479,10,0,Data Lookup,38.1,10
171,500,8,0,Document Summary,15.2,8
172,82,3,0,Report Generation,36.6,19
173,48,7,0,Document Summary,10.8,8
174,395,1,0,Document Summary,44.8,0
175,381,9,1,Document Summary,34.3,4
176,90,9,1,Report Generation,47.2,17
177,369,10,1,Report Generation,17.3,5
178,486,6,1,Data Lookup,29.6,0
179,441,12,1,Report Generation,33.7,13
180,218,5,1,Document Summary,25.5,18
181,441,8,1,Report Generation,29.5,20
182,282,3,0,Email Drafting,34.2,6
183,322,5,0,Document Summary,5.5,17
184,266,5,0,Meeting Recap,32.5,7
185,221,3,0,Email Drafting,39.8,18
186,127,6,1,Document Summary,32.9,16
187,355,6,0,Report Generation,32.1,15
188,178,4,0,Document Summary,44,14
189,399,4,1,Meeting Recap,47,7
190,103,2,1,Data Lookup,16.6,3
191,153,3,1,Document Summary,9.7,1
192,69,10,0,Meeting Recap,8.4,3
193,41,7,0,Email Drafting,39.3,19
194,367,4,0,Document Summary,29.1,14
195,195,5,0,Report Generation,33.7,17
196,354,3,0,Document Summary,34.8,17
197,17,10,1,Report Generation,12.3,2
198,153,12,0,Document Summary,29.7,4
199,453,8,1,Email Drafting,28.7,5
200,375,3,1,Email Drafting,31.8,5
201,141,3,0,Document Summary,48.5,1
202,338,4,0,Report Generation,28,1
203,485,8,0,Email Drafting,13.9,20
204,298,5,0,Data Lookup,29.9,18
205,109,2,0,Document Summary,13,6
206,466,10,1,Email Drafting,9.8,7
207,102,6,1,Document Summary,11.4,16
208,117,2,1,Report Generation,38.9,19
209,9,2,0,Document Summary,37.6,8
210,230,7,0,Meeting Recap,31.5,7
211,142,5,0,Report Generation,5.2,13
212,475,4,1,Report Generation,41.3,7
213,490,12,1,Report Generation,14.3,7
214,169,2,1,Data Lookup,20.2,14
215,241,2,0,Report Generation,34.2,10
216,409,2,1,Meeting Recap,47.8,20
217,109,9,0,Data Lookup,6.8,14
218,152,10,0,Document Summary,28.2,14
219,91,1,1,Document Summary,39.5,3
220,391,9,1,Report Generation,8.5,17
221,207,12,1,Report Generation,37.4,18
222,315,4,0,Report Generation,31.2,4
223,486,3,0,Data Lookup,48.1,4
224,63,9,1,Report Generation,11.7,11
225,88,5,1,Data Lookup,49.4,10
226,176,1,1,Document Summary,10.4,10
227,116,6,0,Meeting Recap,28,1
228,179,7,1,Email Drafting,13.4,6
229,81,8,1,Meeting Recap,25.2,12
230,180,8,0,Email Drafting,26.6,6
231,358,7,0,Email Drafting,10.9,12
232,15,9,0,Document Summary,23.7,19
233,342,6,1,Email Drafting,30.3,8
234,242,6,1,Meeting Recap,40.2,15
235,195,6,0,Report Generation,32.1,2
236,325,1,0,Document Summary,40.8,20
237,344,4,0,Email Drafting,34.9,19
238,39,6,0,Meeting Recap,24.3,12
239,423,4,1,Report Generation,7.3,2
240,416,7,1,Report Generation,25.6,15
241,386,2,1,Meeting Recap,37.9,1
242,102,6,1,Document Summary,5,9
243,241,6,1,Document Summary,14.6,5
244,401,9,1,Report Generation,29,14
245,275,5,0,Document Summary,33.3,14
246,427,4,0,Email Drafting,9.6,1
247,273,2,1,Data Lookup,38.1,17
248,124,5,1,Data Lookup,26.9,0
249,232,10,1,Meeting Recap,9.1,6
250,58,2,0,Document Summary,9.8,3
251,113,4,1,Meeting Recap,12.4,4
252,174,5,1,Email Drafting,28.9,11
253,444,9,1,Meeting Recap,12.7,0
254,294,3,0,Report Generation,7.6,4
255,197,11,0,Data Lookup,39,3
256,18,2,1,Document Summary,26.2,20
257,213,4,0,Data Lookup,24.2,4
258,33,3,1,Report Generation,17.9,2
259,5,10,1,Data Lookup,37.8,4
260,219,3,0,Data Lookup,29.5,10
261,187,9,1,Meeting Recap,17.4,3
262,180,1,0,Report Generation,47.8,9
263,327,12,0,Meeting Recap,18.1,14
264,323,3,0,Data Lookup,18.6,11
265,335,6,1,Email Drafting,49.9,10
266,201,7,1,Data Lookup,6.7,18
267,413,6,0,Data Lookup,28.3,18
268,380,12,1,Email Drafting,19.2,0
269,215,1,0,Email Drafting,7.7,7
270,444,4,1,Email Drafting,33.2,13
271,291,12,1,Email Drafting,23.5,6
272,442,6,0,Meeting Recap,37.3,19
273,123,9,1,Document Summary,28.9,4
274,329,9,1,Report Generation,35.1,18
275,320,6,1,Meeting Recap,28,9
276,264,7,1,Data Lookup,38.3,1
277,359,2,1,Data Lookup,47.6,8
278,69,7,1,Document Summary,17.6,17
279,148,12,1,Data Lookup,28.3,19
280,68,2,1,Meeting Recap,48.1,7
281,11,1,1,Email Drafting,5.5,1
282,475,12,0,Meeting Recap,45.9,8
283,80,12,0,Document Summary,46,1
284,140,5,0,Email Drafting,18.7,13
285,459,7,0,Email Drafting,47.5,10
286,384,1,1,Report Generation,31.4,2
287,16,1,0,Document Summary,45.1,12
288,196,12,0,Document Summary,49.1,9
289,6,6,1,Data Lookup,9.9,3
290,482,4,1,Report Generation,23.7,15
291,347,12,0,Document Summary,28.8,15
292,419,1,0,Meeting Recap,42.3,9
293,252,2,0,Email Drafting,39.8,10
294,406,10,1,Report Generation,45.1,4
295,355,12,0,Email Drafting,29.1,14
296,67,7,0,Email Drafting,47.4,11
297,51,9,1,Report Generation,37.1,5
298,233,6,0,Meeting Recap,44.7,13
299,311,12,1,Email Drafting,24.7,13
300,240,9,0,Meeting Recap,8.7,0
301,240,4,1,Email Drafting,30.1,2
302,29,9,1,Document Summary,23.7,13
303,32,9,1,Report Generation,20.2,2
304,99,1,1,Email Drafting,5.1,15
305,174,5,0,Meeting Recap,39.7,16
306,467,8,0,Email Drafting,26.9,19
307,102,6,0,Document Summary,35.1,1
308,400,9,0,Email Drafting,36.5,17
309,334,10,0,Meeting Recap,34.3,16
310,8,8,0,Report Generation,26.2,12
311,440,9,1,Document Summary,5.5,13
312,474,4,1,Meeting Recap,20,7
313,27,6,0,Data Lookup,47.7,5
314,309,12,0,Document Summary,40.8,18
315,305,7,1,Meeting Recap,29,8
316,157,12,0,Data Lookup,24.9,5
317,112,2,1,Report Generation,6.3,15
318,363,6,0,Email Drafting,44.3,9
319,160,1,1,Report Generation,28.6,0
320,453,6,1,Data Lookup,45.2,12
321,169,3,0,Email Drafting,30.8,4
322,22,8,1,Document Summary,32.7,0
323,54,12,1,Document Summary,27.7,9
324,433,1,1,Report Generation,22.6,10
325,455,4,1,Data Lookup,33.5,2
326,147,4,0,Data Lookup,47.4,18
327,430,1,0,Email Drafting,18.7,2
328,103,4,1,Document Summary,39.7,14
329,211,5,0,Email Drafting,35.7,7
330,186,5,1,Document Summary,37.8,11
331,47,8,1,Data Lookup,31.8,0
332,220,9,0,Data Lookup,32.3,5
333,38,3,1,Document Summary,27.5,13
334,452,3,1,Email Drafting,20.6,8
335,348,7,1,Document Summary,37.5,20
336,196,6,0,Email Drafting,15.1,14
337,249,11,0,Document Summary,17.4,11
338,223,9,1,Report Generation,44.6,18
339,369,11,1,Report Generation,39.3,18
340,403,8,1,Document Summary,14.1,19
341,287,1,0,Email Drafting,14,8
342,328,8,1,Data Lookup,43.4,10
343,461,11,0,Report Generation,39.9,14
344,457,9,1,Data Lookup,25.3,8
345,206,6,1,Document Summary,30.1,2
346,448,2,0,Document Summary,34.1,19
347,233,8,0,Meeting Recap,30.8,17
348,173,2,0,Document Summary,8.8,19
349,251,2,1,Data Lookup,46.5,9
350,254,7,1,Data Lookup,19.5,6
351,443,3,1,Document Summary,14.7,0
352,278,6,1,Document Summary,17,3
353,103,5,0,Data Lookup,33.1,16
354,92,11,0,Meeting Recap,48.7,3
355,1,12,0,Email Drafting,17.1,14
356,220,6,1,Data Lookup,19.7,6
357,307,12,1,Report Generation,36.7,11
358,61,4,1,Report Generation,39.7,0
359,87,2,0,Report Generation,49.2,0
360,390,7,1,Document Summary,8.2,13
361,282,1,0,Report Generation,34.8,17
362,101,8,1,Data Lookup,29.2,9
363,300,11,0,Data Lookup,43.4,18
364,469,1,0,Email Drafting,33.5,0
365,30,7,0,Document Summary,40,2
366,324,6,1,Report Generation,9.9,6
367,176,8,1,Data Lookup,40.6,11
368,318,4,0,Email Drafting,9.4,20
369,334,3,0,Data Lookup,46.8,17
370,343,1,0,Data Lookup,46.3,2
371,384,1,0,Meeting Recap,33.4,4
372,135,4,0,Email Drafting,32,9
373,283,3,0,Email Drafting,45.3,13
374,415,7,1,Meeting Recap,30.1,15
375,4,10,1,Document Summary,27,13
376,457,4,1,Document Summary,20.5,7
377,367,7,1,Meeting Recap,46.9,16
378,75,4,1,Data Lookup,28.4,4
379,461,5,0,Report Generation,46.7,14
380,94,7,0,Email Drafting,42.7,1
381,151,2,0,Data Lookup,48.6,20
382,238,9,1,Report Generation,35.5,19
383,130,11,0,Report Generation,41.1,15
384,169,5,0,Document Summary,43.8,18
385,66,7,0,Meeting Recap,11.1,8
386,100,8,1,Report Generation,17.5,7
387,172,1,1,Document Summary,15.5,13
388,190,12,1,Email Drafting,34.4,1
389,166,9,1,Email Drafting,45.6,11
390,70,12,1,Document Summary,47,5
391,125,10,0,Report Generation,5.2,0
392,198,6,0,Email Drafting,9.8,10
393,26,4,0,Data Lookup,28.1,1
394,442,9,1,Report Generation,26.6,3
395,196,9,0,Meeting Recap,47.5,16
396,177,6,0,Email Drafting,18.4,11
397,122,5,0,Document Summary,30.5,8
398,310,6,0,Document Summary,15.9,9
399,30,1,0,Email Drafting,7,1
400,288,3,1,Document Summary,11.9,4
401,180,3,0,Email Drafting,38.4,8
402,113,10,0,Report Generation,46,20
403,331,8,1,Data Lookup,44.5,18
404,217,6,0,Document Summary,33.9,5
405,69,9,0,Data Lookup,8.5,7
406,138,1,1,Email Drafting,28.7,8
407,139,4,1,Data Lookup,25.2,0
408,314,1,0,Meeting Recap,45.7,18
409,457,8,1,Meeting Recap,8.7,14
410,212,3,1,Data Lookup,43.4,6
411,323,9,0,Data Lookup,42.4,8
412,56,7,1,Document Summary,34.6,11
413,318,7,1,Email Drafting,35.2,14
414,478,9,0,Document Summary,5.5,15
415,358,1,0,Meeting Recap,7.1,9
416,8,7,0,Document Summary,6.4,17
417,426,8,1,Document Summary,15.8,1
418,66,7,1,Document Summary,15.4,1
419,168,4,1,Document Summary,15.8,6
420,455,10,0,Report Generation,46.4,10
421,459,8,1,Meeting Recap,18,5
422,5,11,0,Document Summary,7.9,8
423,414,5,1,Document Summary,37.9,12
424,334,11,0,Meeting Recap,34.5,4
425,51,8,0,Meeting Recap,28.6,1
426,234,12,0,Report Generation,31.3,11
427,277,7,0,Email Drafting,10.2,18
428,357,6,1,Report Generation,32.9,10
429,180,7,1,Document Summary,42.2,11
430,264,6,1,Document Summary,20.2,3
431,50,6,1,Document Summary,12,7
432,191,2,0,Document Summary,13.7,11
433,126,3,1,Document Summary,34.4,15
434,384,3,0,Report Generation,43.8,19
435,289,1,1,Email Drafting,14.7,8
436,89,11,1,Data Lookup,14.4,18
437,175,12,0,Email Drafting,26.6,16
438,99,8,1,Data Lookup,11.2,18
439,123,3,0,Email Drafting,26,12
440,324,11,1,Document Summary,23.8,5
441,454,10,1,Report Generation,14.8,16
442,261,5,1,Email Drafting,10.8,13
443,378,3,0,Data Lookup,38.5,8
444,497,5,0,Data Lookup,11.6,19
445,121,8,0,Email Drafting,32.6,16
446,168,5,0,Data Lookup,40.2,7
447,396,5,0,Report Generation,37.9,8
448,260,11,1,Data Lookup,47.8,4
449,160,9,0,Data Lookup,44.8,20
450,333,9,0,Data Lookup,25.7,9
451,355,1,0,Document Summary,10.3,0
452,357,5,1,Email Drafting,47.3,20
453,380,1,0,Report Generation,26.3,10
454,411,8,0,Document Summary,50,19
455,132,4,1,Report Generation,39.9,13
456,17,11,1,Meeting Recap,33.1,2
457,327,8,0,Report Generation,48.7,10
458,10,12,1,Data Lookup,13.6,9
459,167,7,0,Email Drafting,46.6,8
460,260,5,0,Document Summary,12.9,12
461,473,11,1,Report Generation,25,4
462,237,11,0,Document Summary,25.5,3
463,393,6,1,Data Lookup,25.6,20
464,138,7,1,Email Drafting,22.7,0
465,16,8,0,Report Generation,46.8,17
466,30,8,1,Report Generation,13.3,19
467,212,8,1,Document Summary,45.7,12
468,454,7,0,Document Summary,31.5,3
469,354,3,1,Document Summary,13.7,6
470,419,3,0,Data Lookup,24.2,9
471,2,11,1,Data Lookup,42,2
472,14,3,1,Email Drafting,12.6,5
473,254,3,1,Meeting Recap,12.8,10
474,92,1,1,Meeting Recap,26.5,11
475,185,6,0,Meeting Recap,19.6,8
476,94,1,1,Data Lookup,5.4,0
477,389,12,0,Data Lookup,11.4,7
478,396,8,1,Email Drafting,22.1,6
479,96,12,1,Report Generation,15.1,11
480,86,6,0,Document Summary,16.4,18
481,75,2,0,Document Summary,46.2,14
482,264,3,1,Email Drafting,37.3,11
483,329,6,0,Report Generation,47.2,13
484,452,2,1,Email Drafting,47.1,7
485,40,2,1,Document Summary,39.6,7
486,489,6,1,Meeting Recap,45,20
487,165,5,1,Email Drafting,19.2,9
488,422,2,1,Email Drafting,39.5,13
489,246,1,0,Document Summary,23.1,12
490,192,9,0,Data Lookup,32.4,18
491,221,10,1,Document Summary,49.8,0
492,423,7,1,Email Drafting,14.8,10
493,481,11,0,Email Drafting,39.1,7
494,161,2,1,Meeting Recap,27.3,13
495,486,6,1,Email Drafting,31.5,11
496,456,5,1,Document Summary,33.2,12
497,198,10,1,Report Generation,30.5,3
498,84,11,1,Email Drafting,23,8
499,438,5,1,Email Drafting,21.9,19
500,401,1,1,Meeting Recap,25.7,6
501,253,11,1,Data Lookup,10.1,19
502,320,4,1,Report Generation,48.7,2
503,220,9,0,Document Summary,21.9,7
504,418,7,1,Meeting Recap,19.4,1
505,486,4,0,Email Drafting,46.6,2
506,349,9,0,Report Generation,28.8,6
507,367,9,1,Meeting Recap,5.3,9
508,241,8,1,Data Lookup,15.4,5
509,379,3,0,Meeting Recap,44.6,11
510,390,7,1,Email Drafting,48.6,1
511,181,8,1,Document Summary,20,12
512,435,8,1,Report Generation,12.3,18
513,57,4,0,Meeting Recap,14.8,15
514,157,7,1,Document Summary,31.6,6
515,482,12,1,Report Generation,8.1,8
516,101,7,0,Data Lookup,22.1,11
517,102,10,1,Data Lookup,12.7,5
518,320,4,1,Document Summary,44.9,7
519,210,9,1,Document Summary,26.8,18
520,151,10,0,Document Summary,25.3,5
521,229,4,1,Document Summary,31.1,2
522,283,12,1,Meeting Recap,37.3,6
523,418,9,0,Report Generation,15.4,18
524,280,11,1,Email Drafting,20,9
525,455,1,1,Document Summary,47.4,15
526,378,10,0,Document Summary,25.6,15
527,278,5,0,Report Generation,38.7,16
528,52,8,0,Meeting Recap,23.2,1
529,436,12,0,Document Summary,46.2,13
530,78,1,0,Report Generation,23.7,17
531,356,9,0,Document Summary,35.7,3
532,4,4,0,Document Summary,49.7,6
533,264,12,1,Report Generation,38.4,15
534,446,11,0,Email Drafting,44.7,18
535,76,12,0,Data Lookup,31.5,14
536,274,2,1,Report Generation,49.1,10
537,344,8,0,Data Lookup,30,5
538,69,5,1,Meeting Recap,20.8,17
539,482,6,1,Email Drafting,33.6,17
540,174,4,1,Document Summary,31.3,16
541,171,10,0,Data Lookup,21.9,9
542,93,6,1,Report Generation,13.1,14
543,16,3,0,Report Generation,23,19
544,166,12,0,Meeting Recap,46.8,0
545,465,12,0,Data Lookup,24,13
546,249,2,0,Report Generation,41.1,13
547,264,7,1,Document Summary,12.4,5
548,128,2,0,Email Drafting,28.4,10
549,380,1,0,Email Drafting,33.2,12
550,7,1,0,Email Drafting,8.6,9
551,458,4,0,Report Generation,29.8,11
552,72,2,1,Report Generation,17.2,8
553,23,11,1,Email Drafting,12.1,10
554,248,7,0,Email Drafting,43.4,5
555,336,12,0,Report Generation,8,10
556,255,4,1,Email Drafting,25.2,4
557,365,10,0,Email Drafting,16.4,2
558,158,2,1,Data Lookup,29,17
559,329,1,0,Document Summary,41.3,3
560,95,2,0,Document Summary,21.5,15
561,160,8,1,Email Drafting,48.8,20
562,261,11,1,Meeting Recap,7.3,1
563,65,1,1,Meeting Recap,7.7,7
564,35,9,0,Report Generation,6.7,14
565,393,12,1,Meeting Recap,27.3,14
566,493,6,1,Document Summary,31.4,14
567,115,10,1,Email Drafting,45.4,13
568,28,7,0,Email Drafting,41.2,18
569,434,7,1,Email Drafting,23.7,6
570,42,11,1,Document Summary,21.5,8
571,254,4,1,Email Drafting,31.4,14
572,34,5,0,Document Summary,28.2,19
573,150,1,0,Meeting Recap,46.5,18
574,158,1,1,Document Summary,37.8,7
575,423,10,1,Meeting Recap,30.9,15
576,200,9,0,Data Lookup,41.3,1
577,280,3,1,Email Drafting,23.4,11
578,281,6,1,Report Generation,23.7,15
579,491,4,1,Data Lookup,41.4,14
580,332,10,1,Meeting Recap,17.4,1
581,216,3,1,Meeting Recap,8.9,8
582,189,7,1,Report Generation,45.1,9
583,23,3,1,Document Summary,11.1,10
584,182,3,0,Email Drafting,32.6,3
585,175,8,0,Data Lookup,46.9,6
586,308,3,0,Report Generation,44.7,6
587,102,7,1,Report Generation,40.2,5
588,115,1,1,Document Summary,18.8,6
589,492,10,0,Meeting Recap,23,10
590,196,11,0,Document Summary,50,7
591,443,5,1,Meeting Recap,24.6,18
592,100,8,0,Report Generation,43.7,12
593,74,10,0,Email Drafting,36,2
594,136,7,0,Meeting Recap,11.3,2
595,155,2,0,Report Generation,41.8,15
596,132,9,1,Report Generation,25.9,8
597,282,6,0,Document Summary,11.5,10
598,386,6,0,Report Generation,43.2,9
599,55,3,0,Email Drafting,36.4,3
600,230,11,0,Email Drafting,31.9,14
601,311,2,1,Report Generation,41.8,1
602,192,10,0,Data Lookup,32.7,16
603,374,4,0,Document Summary,20.6,18
604,278,2,0,Report Generation,8.4,16
605,168,4,0,Data Lookup,8.4,17
606,149,2,0,Data Lookup,45.9,16
607,81,6,0,Data Lookup,23.9,7
608,370,1,0,Meeting Recap,40.9,2
609,7,10,1,Email Drafting,29.5,18
610,409,10,1,Document Summary,33.2,11
611,389,4,0,Report Generation,20,0
612,245,2,0,Email Drafting,18.1,2
613,152,6,0,Meeting Recap,6.4,19
614,79,4,0,Meeting Recap,7.2,6
615,23,11,0,Email Drafting,35.8,14
616,231,9,0,Meeting Recap,49.6,18
617,468,10,0,Meeting Recap,46.6,10
618,131,4,1,Report Generation,48.3,13
619,352,5,0,Report Generation,28.6,18
620,240,1,0,Data Lookup,13.7,11
621,32,9,0,Document Summary,28.5,2
622,265,1,0,Email Drafting,13.5,6
623,408,7,1,Document Summary,34.7,1
624,213,1,0,Document Summary,16,14
625,331,7,1,Email Drafting,11.6,11
626,193,11,0,Data Lookup,26,0
627,218,8,1,Report Generation,25.7,13
628,406,9,0,Email Drafting,44,3
629,18,2,0,Report Generation,22.1,17
630,55,1,0,Meeting Recap,46.2,15
631,189,3,1,Document Summary,49.6,0
632,86,6,1,Meeting Recap,26.6,19
633,366,3,1,Data Lookup,8.5,11
634,124,4,1,Email Drafting,13.9,10
635,377,11,1,Report Generation,22.5,9
636,142,10,0,Report Generation,46,10
637,419,9,1,Email Drafting,33.3,1
638,121,7,1,Document Summary,17.8,2
639,77,2,1,Data Lookup,17.9,6
640,441,2,1,Document Summary,20.6,2
641,92,7,0,Data Lookup,19.9,14
642,316,1,1,Report Generation,47.7,11
643,498,4,1,Report Generation,38.4,3
644,62,4,0,Document Summary,32.3,20
645,222,2,0,Meeting Recap,25.4,3
646,330,5,1,Email Drafting,18.4,3
647,63,8,1,Document Summary,26.3,7
648,299,2,1,Email Drafting,33.7,2
649,239,4,0,Report Generation,12.4,8
650,438,3,1,Report Generation,34,8
651,327,3,1,Email Drafting,46.9,1
652,241,3,0,Email Drafting,26.1,10
653,298,6,1,Document Summary,30.6,11
654,102,12,1,Report Generation,6.8,17
655,232,7,1,Document Summary,28.2,12
656,484,4,1,Data Lookup,46.1,19
657,114,2,1,Data Lookup,29.3,11
658,201,10,1,Report Generation,23,7
659,197,3,1,Email Drafting,24,6
660,308,8,0,Data Lookup,42.9,1
661,210,9,1,Email Drafting,49.4,20
662,69,9,1,Document Summary,34.9,6
663,386,1,1,Meeting Recap,28.6,5
664,125,2,0,Document Summary,45.2,3
665,155,9,1,Data Lookup,37.2,20
666,287,5,1,Data Lookup,12.4,6
667,200,6,1,Email Drafting,14.8,12
668,137,6,0,Document Summary,37,18
669,455,9,1,Data Lookup,18.4,16
670,205,8,0,Meeting Recap,6.8,16
671,43,1,0,Meeting Recap,8.4,10
672,292,8,0,Email Drafting,43.5,13
673,211,4,0,Meeting Recap,49.2,5
674,47,12,1,Document Summary,7.8,15
675,228,6,1,Data Lookup,8.4,16
676,175,7,0,Data Lookup,7.2,8
677,254,2,1,Meeting Recap,22.2,19
678,480,5,0,Meeting Recap,5.9,5
679,301,4,1,Report Generation,45.4,12
